Nom de l'attribut;Element auquels il s'applique;Definition
accept;<form>, <input>;
accept-charset;<form>;
accesskey;universel;
action;<form>;
align;<applet>, <caption>, <col>, <colgroup>, <hr>, <iframe>, <img>, <table>, <tbody>, <td>,<tfoot>, <th>, <thead>, <tr>;
allow;<iframe>;
alt;<applet>, <area>, <img>, <input>;
async;<script>;
autocapitalize;universel;
autocomplete;<form>, <input>, <select>, <textarea>;
autofocus;<button>, <input>, <keygen>, <select>, <textarea>;
autoplay;<audio>, <video>;
background;<body>, <table>, <td>, <th>;
bgcolor;<body>, <col>, <colgroup>, <marquee>, <table>, <tbody>, <tfoot>, <td>, <th>, <tr>;
border;<img>, <object>, <table>;
buffered;<audio>, <video>;
challenge;<keygen>;
charset;<meta>, <script>;
checked;<command>, <input>;
cite;<blockquote>, <del>, <ins>, <q>;
class;universel;
code;<applet>;
codebase;<applet>;
color;<basefont>, <font>, <hr>;
cols;<textarea>;
colspan;<td>, <th>;
content;<meta>;
contenteditable;universel;
contextmenu;universel;
controls;<audio>, <video>;
coords;<area>;
crossorigin;<audio>, <img>, <link>, <script>, <video>;
csp;<iframe>;
data;<object>;
data-*;universel;
datetime;<del>, <ins>, <time>;
decoding;<img>;
default;<track>;
defer;<script>;
dir;universel;
dirname;<input>, <textarea>;
disabled;<button>, <command>, <fieldset>, <input>, <keygen>, <optgroup>, <option>, <select>, <textarea>;
download;<a>, <area>;
draggable;universel;
dropzone;universel;
enctype;<form>;
enterkeyhint;<textarea>, contenteditable;
for;<label>, <output>;
form;<button>, <fieldset>, <input>, <keygen>, <label>, <meter>, <object>, <output>, <progress>, <select>, <textarea>;
formaction;<input>, <button>;
formenctype;<input>, <button>;
formmethod;<input>, <button>;
formnovalidate;<input>, <button>;
formtarget;<input>, <button>;
headers;<td>, <th>;
height;<canvas>, <embed>, <iframe>, <img>, <input>, <object>, <video>;
hidden;universel;
high;<meter>;
href;<a>, <area>, <base>, <link>;
hreflang;<a>, <area>, <link>;
http-equiv;<meta>;
icon;<command>;
id;universel;
importance;<iframe>, <img>, <link>, <script>;
integrity;<link>, <script>;
intrinsicsize;<img>;
inputmode;<textarea>, contenteditable;
ismap;<img>;
itemprop;universel;
keytype;<keygen>;
kind;<track>;
label;<optgroup>, <option>, <track>;
lang;universel;
language;<script>;
loading;<img>, <iframe>;
list;<input>;
loop;<audio>, <bgsound>, <marquee>, <video>;
low;<meter>;
manifest;<html>;
max;<input>, <meter>, <progress>;
maxlenght;<input>, <textarea>;
minlenght;<input>, <textarea>;
media;<a>, <area>, <link>, <source>, <style>;
method;<form>;
min;<input>, <meter>;
multiple;<input>, <select>;
muted;<audio>, <video>;
name;<button>, <form>, <fieldset>, <iframe>, <input>, <keygen>, <object>, <output>, <select>, <textarea>, <map>, <param>;
novalidate;<form>;
open;<details>;
optimum;<meter>;
pattern;<input>;
ping;<a>, <area>;
placeholder;<input>, <textarea>;
poster;<video>;
preload;<audio>, <video>;
radiogroup;<command>;
readonly;<input>, <textarea>;
referrerpolicy;<a>, <area>, <iframe>, <img>, <link>, <script>;
rel;<a>, <area>, <link>;
required;<input>, <select>, <textarea>;
reversed;<ol>;
rows;<textarea>;
rowspan;<td>, <th>;
sandbox;<iframe>;
scope;<th>;
scoped;<style>;
selected;<option>;
shape;<a>, <area>;
size;<input>, <select>;
sizes;<link>, <img>, <source>;
slot;universel;
span;<col>, <colgroup>;
spellcheck;universel;
src;<audio>, <embed>, <iframe>, <img>, <input>, <script>, <source>, <track>, <video>;
srcdoc;<iframe>;
srclang;<track>;
srcset;<img>;
start;<ol>;
step;<input>;
style;universel;
summary;<table>;
tabindex;universel;
target;<a>, <area>, <base>, <form>;
title;universel;
translate;universel;
type;<button>, <input>,  <command>, <embed>, <object>, <script>, <source>, <style>, <menu> ;
usemap;<img>, <input>, <object>;
value;<button>, <option>, <input>, <li>, <meter>, <progress>, <param>;
width;<canvas>, <embed>, <iframe>, <img>, <input>, <object>, <video>;
wrap;<textarea>;
